     6      982     itext   idata											
																								
Haensel & Zdunik (2008) EOS: 																																											
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

 
   5.52220e+10   7.21360e+28   3.31420e-05      56      56      22
   5.42760e+10   7.04940e+28   3.25750e-05      56      56      22
   5.33460e+10   6.88890e+28   3.20180e-05      56      56      22
   5.24320e+10   6.73210e+28   3.14700e-05      56      56      22
   5.15340e+10   6.57890e+28   3.09320e-05      56      56      22
   5.06510e+10   6.42910e+28   3.04020e-05      56      56      22
   4.97830e+10   6.28280e+28   2.98820e-05      56      56      22
   4.89300e+10   6.13980e+28   2.93710e-05      56      56      22
   4.80920e+10   6.00000e+28   2.88680e-05      56      56      22
   4.72680e+10   5.86340e+28   2.83750e-05      56      56      22
   4.64580e+10   5.73000e+28   2.78890e-05      56      56      22
   4.56620e+10   5.59950e+28   2.74120e-05      56      56      22
   4.48800e+10   5.47210e+28   2.69430e-05      56      56      22
   4.41110e+10   5.34750e+28   2.64820e-05      56      56      22
   4.33550e+10   5.22580e+28   2.60290e-05      56      56      22
   4.26130e+10   5.10680e+28   2.55840e-05      56      56      22
   4.18830e+10   4.99060e+28   2.51460e-05      56      56      22
   4.11650e+10   4.87700e+28   2.47160e-05      56      56      22
   4.04600e+10   4.76600e+28   2.42930e-05      56      56      22
   3.97670e+10   4.65750e+28   2.38770e-05      56      56      22
   3.90860e+10   4.55150e+28   2.34690e-05      56      56      22
   3.84160e+10   4.44790e+28   2.30670e-05      56      56      22
   3.77580e+10   4.34660e+28   2.26730e-05      56      56      22
   3.71110e+10   4.24770e+28   2.22850e-05      56      56      22
   3.64760e+10   4.15100e+28   2.19040e-05      56      56      22
   3.58510e+10   4.05650e+28   2.15290e-05      56      56      22
   3.52370e+10   3.96420e+28   2.11610e-05      56      56      22
   3.46330e+10   3.87390e+28   2.07990e-05      56      56      22
   3.40400e+10   3.78570e+28   2.04430e-05      56      56      22
   3.34570e+10   3.69960e+28   2.00930e-05      56      56      22
   3.28840e+10   3.61540e+28   1.97500e-05      56      56      22
   3.23210e+10   3.53310e+28   1.94120e-05      56      56      22
   3.17680e+10   3.45260e+28   1.90800e-05      56      56      22
   3.12230e+10   3.37400e+28   1.87530e-05      56      56      22
   3.06890e+10   3.29720e+28   1.84330e-05      56      56      22
   3.01630e+10   3.22220e+28   1.81170e-05      56      56      22
   2.96470e+10   3.14880e+28   1.78070e-05      56      56      22
   2.91390e+10   3.07720e+28   1.75030e-05      56      56      22
   2.86400e+10   3.00710e+28   1.72030e-05      56      56      22
   2.81500e+10   2.93870e+28   1.69090e-05      56      56      22
   2.76680e+10   2.87180e+28   1.66200e-05      56      56      22
   2.71940e+10   2.80640e+28   1.63360e-05      56      56      22
   2.67280e+10   2.74250e+28   1.60560e-05      56      56      22
   2.62710e+10   2.68010e+28   1.57820e-05      56      56      22
   2.58210e+10   2.61910e+28   1.55120e-05      56      56      22
   2.53790e+10   2.55950e+28   1.52460e-05      56      56      22
   2.49440e+10   2.50120e+28   1.49860e-05      56      56      22
   2.45170e+10   2.44430e+28   1.47290e-05      56      56      22
   2.40970e+10   2.38860e+28   1.44780e-05      56      56      22
   2.36850e+10   2.33430e+28   1.42300e-05      56      56      22
   2.32790e+10   2.28110e+28   1.39870e-05      56      56      22
